x,y
20,5270
20.000229047669563,5260
20.000228610559134,5250
20.000228173448704,5240
20.000227736338275,5230
20.000227299213293,5220
20.000226862102863,5210
20.000226424992434,5200
20.000225987882004,5190
20.000225550757023,5180
20.000225113646593,5170
20.000224676536163,5160
20.000224239425734,5150
20.000223802315304,5140
20.000223365190323,5130
20.000222928079893,5120
20.000222490969463,5110
20.000222053859034,5100
20.000221616734052,5090
20.000221179623622,5080
20.000220742513193,5070
20.000220305402763,5060
20.00021986827778,5050
20.000219431167352,5040
20.000218994056922,5030
20.000218556946493,5020
20.00021811982151,5010
20.00021768271108,5000
20.000217245600652,4990
20.000216808490222,4980
20.00021637136524,4970
20.00021593425481,4960
20.00021549714438,4950
20.000215060033952,4940
20.000214622923522,4930
20.00021418579854,4920
20.00021374868811,4910
20.00021331157768,4900
20.000212874467252,4890
20.00021243734227,4880
20.00021200023184,4870
20.00021156312141,4860
20.00021112601098,4850
20.000210688886,4840
20.00021025177557,4830
20.00020981466514,4820
20.00020937755471,4810
20.00020894042973,4800
20.0002085033193,4790
20.00020806620887,4780
20.00020762909844,4770
20.00020719197346,4760
20.00020675486303,4750
20.0002063177526,4740
20.00020588064217,4730
20.00020544353174,4720
20.00020500640676,4710
20.00020456929633,4700
20.0002041321859,4690
20.00020369507547,4680
20.00020325795049,4670
20.00020282084006,4660
20.00020238372963,4650
20.0002019466192,4640
20.000201509494218,4630
20.00020107238379,4620
20.00020063527336,4610
20.00020019816293,4600
20.000199761037948,4590
20.000199323927518,4580
20.00019888681709,4570
20.00019844970666,4560
20.000198012581677,4550
20.000197575471248,4540
20.000197138360818,4530
20.00019670125039,4520
20.00019626413996,4510
20.000195827014977,4500
20.000195389904547,4490
20.000194952794118,4480
20.000194515683688,4470
20.000194078558707,4460
20.000193641448277,4450
20.000193204337847,4440
20.000192767227418,4430
20.000192330102436,4420
20.000191892992007,4410
20.000191455881577,4400
20.000191018771147,4390
20.000190581646166,4380
20.000190144535736,4370
20.000189707425307,4360
20.000189270314877,4350
20.000188833204447,4340
20.000188396079466,4330
20.000187958969036,4320
20.000187521858606,4310
20.000187084748177,4300
20.000186647623195,4290
20.000186210512766,4280
20.000185773402336,4270
20.000185336291906,4260
20.000184899166925,4250
20.000184462056495,4240
20.000184024946066,4230
20.000183587835636,4220
20.000183150710654,4210
20.000182713600225,4200
20.000182276489795,4190
20.000181839379366,4180
20.000181402254384,4170
